index_{batch_size},operation, total_tome, operation_per_second
tle-students_100,3712,28278,131.26812362967678
tle-students_200,1856,27896,66.53283624892457
tle-students_400,928,27562,33.6695450257601
tle-students_800,464,26816,17.30310262529833
tle-students_1600,232,26713,8.684909968928986
tle-students_3200,116,26066,4.450241694160976
tle-students_6400,58,24883,2.33090865249367
tle-students_12800,29,25535,1.1356961033875075
tle-students_25600,15,26424,0.5676657584014533
